university,group_code,reason
内蒙古大学,215,无专业组映射
内蒙古大学,216,无专业组映射
"教
内蒙古大学",222,无专业组映射
内蒙古科技大学,208,无专业组映射
内蒙古科技大学,209,无专业组映射
内蒙古科技大学,210,无专业组映射
内蒙古科技大学,"育
206",无专业组映射
内蒙古科技大学,207,无专业组映射
"省
内蒙古工业大学",204,无专业组映射
内蒙古工业大学,205,无专业组映射
内蒙古工业大学,206,无专业组映射
内蒙古工业大学,207,无专业组映射
"东
内蒙古农业大学",206,无专业组映射
内蒙古农业大学,207,无专业组映射
内蒙古农业大学,208,无专业组映射
内蒙古农业大学,205,无专业组映射
内蒙古医科大学,205,无专业组映射
内蒙古医科大学,207,无专业组映射
内蒙古医科大学,208,无专业组映射
"广
内蒙古医科大学",206,无专业组映射
内蒙古师范大学,210,无专业组映射
内蒙古师范大学,211,无专业组映射
内蒙古师范大学,212,无专业组映射
内蒙古师范大学,213,无专业组映射
内蒙古师范大学,208,无专业组映射
内蒙古民族大学,206,无专业组映射
内蒙古民族大学,207,无专业组映射
内蒙古民族大学,208,无专业组映射
内蒙古民族大学,209,无专业组映射
内蒙古民族大学,205,无专业组映射
辽宁大学,208,无专业组映射
辽宁大学,209,无专业组映射
辽宁大学,210,无专业组映射
辽宁大学,201,无专业组映射
辽宁大学,202,无专业组映射
辽宁大学(中外合作办学),211,无专业组映射
辽宁大学(中外合作办学),212,无专业组映射
辽宁大学(中外合作办学),213,无专业组映射
辽宁大学(中外合作办学),214,无专业组映射
辽宁大学(中外合作办学),204,无专业组映射
辽宁大学(中外合作办学),205,无专业组映射
辽宁大学(中外合作办学),207,无专业组映射
大连理工大学,208,无专业组映射
大连理工大学,207,无专业组映射
大连理工大学(中外合作办学),210,无专业组映射
沈阳工业大学,207,无专业组映射
沈阳工业大学,208,无专业组映射
沈阳工业大学,209,无专业组映射
沈阳工业大学,210,无专业组映射
沈阳工业大学,211,无专业组映射
沈阳航空航天大学,202,无专业组映射
沈阳理工大学,205,无专业组映射
沈阳理工大学,206,无专业组映射
沈阳理工大学,208,无专业组映射
东北大学,208,无专业组映射
东北大学,209,无专业组映射
东北大学,210,无专业组映射
东北大学,211,无专业组映射
东北大学,212,无专业组映射
东北大学,215,无专业组映射
东北大学,216,无专业组映射
东北大学(中外合作办学),213,无专业组映射
东北大学(中外合作办学),"育
214",无专业组映射
辽宁科技大学,203,无专业组映射
"教
辽宁科技大学(中外合作办学)",204,无专业组映射
辽宁工程技术大学,208,无专业组映射
辽宁工程技术大学,209,无专业组映射
辽宁工程技术大学,210,无专业组映射
辽宁工程技术大学,206,无专业组映射
"省
辽宁石油化工大学",206,无专业组映射
辽宁石油化工大学,207,无专业组映射
辽宁石油化工大学,208,无专业组映射
辽宁石油化工大学,209,无专业组映射
"东
辽宁石油化工大学(中外合作办学)",210,无专业组映射
沈阳化工大学,208,无专业组映射
沈阳化工大学,209,无专业组映射
沈阳化工大学,210,无专业组映射
沈阳化工大学,212,无专业组映射
"广
沈阳化工大学",211,无专业组映射
沈阳化工大学(中外合作办学),213,无专业组映射
大连交通大学,206,无专业组映射
大连交通大学,207,无专业组映射
大连交通大学,209,无专业组映射
大连交通大学(中外合作办学),208,无专业组映射
大连交通大学(中外合作办学),205,无专业组映射
大连海事大学,213,无专业组映射
大连海事大学,214,无专业组映射
大连海事大学,216,无专业组映射
大连海事大学,217,无专业组映射
大连海事大学,210,无专业组映射
大连海事大学,211,无专业组映射
大连海事大学(中外合作办学),215,无专业组映射
大连海事大学(中外合作办学),218,无专业组映射
大连海事大学(中外合作办学),212,无专业组映射
大连工业大学,211,无专业组映射
大连工业大学,212,无专业组映射
大连工业大学,213,无专业组映射
大连工业大学,214,无专业组映射
大连工业大学,209,无专业组映射
大连工业大学,210,无专业组映射
大连工业大学(中外合作办学),215,无专业组映射
大连工业大学(中外合作办学),216,无专业组映射
大连工业大学(中外合作办学),217,无专业组映射
大连工业大学(中外合作办学),218,无专业组映射
沈阳建筑大学,209,无专业组映射
沈阳建筑大学,210,无专业组映射
沈阳建筑大学,212,无专业组映射
沈阳建筑大学,214,无专业组映射
沈阳建筑大学(中外合作办学),211,无专业组映射
沈阳建筑大学(中外合作办学),215,无专业组映射
沈阳建筑大学(中外合作办学),216,无专业组映射
沈阳农业大学,206,无专业组映射
沈阳农业大学,207,无专业组映射
沈阳农业大学(中外合作办学),208,无专业组映射
大连海洋大学,204,无专业组映射
