university_name,group_code,sample_major_name,suggested_majors,in_simple,auto_filled
广州大学(地方专项),248,专业组248,,NO,NO
成都大学(中外合作办学),219,专业组219,,NO,NO
"广
成都大学",220,专业组220,,NO,NO
海南热带海洋学院(中外合作办学),215,专业组215,,NO,NO
太原学院(本科预科班),209,专业组209,,NO,NO
南京审计大学(中外合作办学),206,专业组206,,NO,NO
福建商学院(本科预科班),201,专业组201,,NO,NO
江西科技师范大学(国际班),"育
213","专业组育
213",,NO,NO
"教
信阳农林学院",205,专业组205,,NO,NO
"省
仲恺农业工程学院",208,专业组208,,NO,NO
"东
五邑大学",213,专业组213,,NO,NO
五邑大学(联合培养),214,专业组214,,NO,NO
"广
梧州学院",214,专业组214,,NO,NO
河北金融学院(中外合作办学),210,专业组210,,NO,NO
长春工程学院(本科预科班),205,专业组205,,NO,NO
浙江财经大学(中外合作办学),211,专业组211,,NO,NO
浙江财经大学(中外合作办学),212,专业组212,,NO,NO
衢州学院,"育
205","专业组育
205",,NO,NO
"教
新余学院",205,专业组205,,NO,NO
"省
湖南城市学院",209,专业组209,,NO,NO
"东
湖南工业大学",207,专业组207,,NO,NO
"广
广东金融学院",212,专业组212,,NO,NO
广东金融学院(联合培养),216,专业组216,,NO,NO
广东金融学院(地方专项),231,专业组231,,NO,NO
湖北经济学院(中外合作办学),207,专业组207,,NO,NO
浙江传媒学院(中外合作办学),214,专业组214,,NO,NO
广东石油化工学院,"育
211","专业组育
211",,NO,NO
"教
海南师范大学",225,专业组225,,NO,NO
"省
重庆理工大学",209,专业组209,,NO,NO
"东
西安邮电大学",207,专业组207,,NO,NO
西安邮电大学(本科预科班),212,专业组212,,NO,NO
"广
长春大学",208,专业组208,,NO,NO
长春大学(联合培养),210,专业组210,,NO,NO
重庆工商大学(中外双学士),216,专业组216,,NO,NO
东莞理工学院(粤台联合培养),214,专业组214,,NO,NO
上海杉达学院(中外合作办学),209,专业组209,,NO,NO
桂林旅游学院(中外合作办学),202,专业组202,,NO,NO
桂林旅游学院(中外合作办学),203,专业组203,,NO,NO
广东工业大学,"育
200","专业组育
200",,YES,YES
"省
广东工业大学(学分互认)",266,专业组266,,NO,NO
广东工业大学(地方专项),281,专业组281,,NO,NO
"东
广东外语外贸大学",201,专业组201,,NO,NO
"广
广东外语外贸大学",205,专业组205,,NO,NO
广东外语外贸大学(粤澳合作办学),207,专业组207,,NO,NO
广东外语外贸大学(地方专项),208,专业组208,,NO,NO
佛山大学(粤澳联合培养),223,专业组223,,NO,NO
佛山大学(地方专项),225,专业组225,,NO,NO
佛山大学(地方专项),226,专业组226,,NO,NO
广东培正学院(学分互认),207,专业组207,,NO,NO
南方医科大学(地方专项),209,专业组209,,NO,NO
海口经济学院,"育
219","专业组育
219",,NO,NO
"教
武汉生物工程学院",208,专业组208,,NO,NO
宁夏理工学院(联合培养),206,专业组206,,NO,NO
"省
广东东软学院",219,专业组219,,NO,NO
"东
广东东软学院",222,专业组222,,NO,NO
"广
广州城市理工学院",204,专业组204,,NO,NO
广州软件学院(联合培养),218,专业组218,,NO,NO
广州南方学院(联合培养),205,专业组205,,NO,NO
广州南方学院(联合培养),206,专业组206,,NO,NO
广东外语外贸大学南国商学院(国际班),231,专业组231,,NO,NO
广州华商学院(国际班),203,专业组203,,NO,NO
湖南农业大学东方科技学院,"育
203","专业组育
203",,NO,NO
"教
岳阳学院",204,专业组204,,NO,NO
"省
广州理工学院",203,专业组203,,NO,NO
"东
西安欧亚学院",204,专业组204,,NO,NO
"广
郑州工业应用技术学院",204,专业组204,,NO,NO
武汉城市学院,"育
204","专业组育
204",,NO,NO
"教
武汉纺织大学外经贸学院",206,专业组206,,NO,NO
"省
武汉工商学院",207,专业组207,,NO,NO
"东
湖北恩施学院",205,专业组205,,NO,NO
"广
湖北师范大学文理学院",205,专业组205,,NO,NO
南昌大学科学技术学院,"育
204","专业组育
204",,NO,NO
"教
赣东学院",206,专业组206,,NO,NO
"省
赣南科技学院",210,专业组210,,NO,NO
"东
江西农业大学南昌商学院",212,专业组212,,NO,NO
"广
南昌医学院",207,专业组207,,NO,NO
江西财经大学现代经济管理学院(联合培养),212,专业组212,,NO,NO
无锡太湖学院,"育
205","专业组育
205",,NO,NO
"教
重庆外语外事学院",205,专业组205,,NO,NO
"省
重庆财经学院",206,专业组206,,NO,NO
"东
山西科技学院",204,专业组204,,NO,NO
"广
马鞍山学院",203,专业组203,,NO,NO
广州华立学院(联合培养),"育
209","专业组育
209",,NO,NO
"教
广州应用科技学院",203,专业组203,,NO,NO
"省
广州应用科技学院",207,专业组207,,NO,NO
广州应用科技学院(联合培养),209,专业组209,,NO,NO
"东
天津外国语大学滨海外事学院",206,专业组206,,NO,NO
"广
天津外国语大学滨海外事学院",210,专业组210,,NO,NO
广州商学院(中外合作办学),202,专业组202,,NO,NO
南京传媒学院(中外合作办学),214,专业组214,,NO,NO
广东科技学院(联合培养),"育
202","专业组育
202",,NO,NO
广东科技学院(联合培养),203,专业组203,,NO,NO
"省
广东工商职业技术大学",204,专业组204,,NO,NO
"东
黑河学院",208,专业组208,,NO,NO
"广
豫章师范学院(学分互认)",210,专业组210,,NO,NO
琼台师范学院(中外合作办学),214,专业组214,,NO,NO
东莞城市学院(联合培养),202,专业组202,,NO,NO
三亚学院(中外合作办学),217,专业组217,,NO,NO
北京中医药大学东方学院,"育
208","专业组育
208",,NO,NO
"教
广州新华学院",201,专业组201,,NO,NO
"省
南京师范大学中北学院",206,专业组206,,NO,NO
"东
南京医科大学康达学院",208,专业组208,,NO,NO
"广
苏州城市学院",204,专业组204,,NO,NO
福建农林大学金山学院(中外合作办学),203,专业组203,,NO,NO
湖北第二师范学院(中外合作办学),206,专业组206,,NO,NO
民政职业大学,"育
207","专业组育
207",,NO,NO
